ID,Name,Molecular Formula,SMILES
L7446,17:0-22:4 PE-d5,C44H75H5NO8P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
L7447,17:0-14:1 PG-d5 (Na Salt),C37H65H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCC
L7448,17:0-16:1 PG-d5 (Na Salt),C39H69H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCC
L7449,17:0-18:1 PG-d5 (Na Salt),C41H73H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCCCC
L7450,17:0-20:3 PG-d5 (Na Salt),C43H73H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\C=C/CCCCC
L7451,17:0-22:4 PG-d5 (Na Salt),C45H75H5NaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\C=C/C\C=C/CCCC
L7452,17:0-14:1 PS-d5 (Na Salt),C37H64H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\CC
L7453,17:0-16:1 PS-d5 (Na Salt),C39H68H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\CCCC
L7454,17:0-18:1 PS-d5 (Na Salt),C41H72H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\CCCCCC
L7455,17:0-20:3 PS-d5 (Na Salt),C43H72H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC
L7456,17:0-22:4 PS-d5 (Na Salt),C45H74H5NNaO10P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C
L7457,17:0-14:1 DG-d5,C34H59H5O5,[H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCC  
L7458,17:0-16:1 DG-d5,C36H63H5O5,[H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC
L7459,17:0-18:1 DG-d5,C38H67H5O5,[H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC
