NO,Name,Molecular Formula,SMILES,RT,RT1,RT2,RT3,RT4,timspro
L7480,17:0 Lyso PE-d5,C22H41H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)O,1.58,8.8575,1.6925,2.1275,4.8,2.5
L7481,19:0 Lyso PE-d5,C24H45H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)O,2.23,9.5075,2.275,3.105,5.8475,3.6
L1792,FA 20:0,,CCCCCCCCCCCCCCCCCCCC(=O)O,5.089,10.23,3.36,6.311,7.68,
L1793,FA 20:1,,CCCCCCCCCCCCCCCCCC=CC(=O)O,3.96,9.62,3.22,5.72,7.09,
L1798,FA 20:2,,CCCCCCCCCCCCCCCC=CC=CC(=O)O,3.17,9.053,2.78,4.74,6.32,
L1799,FA 20:3,,CCCCCCCCCCCCCC=CC=CC=CC(=O)O,2.46,8.779,2.43,3.92,5.61,
L1802,FA 20:4,,CCCCCCCCCCCC=CC=CC=CC=CC(=O)O,2.06,8.29,2.16,3.39,5.12,
L1808,FA 20:5,,CCCCCCCCCC=CC=CC=CC=CC=CC(=O)O,1.67,7.818,1.82,2.7,4.39,
L1809,TG(16:0_16:0_18:0),C53 H102 O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,17.1048,19.94978676,18.07278207,13.46011242,17.34373657,
L1811,TG(16:0_16:0_18:2),C53 H98 O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC=CC=CC,16.4,18.41738534,17.59373169,13.33094674,16.18,
L1814,TG(16:0_16:1_18:3),C53 H94 O6,CC=CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC=CC=CC=CC,15.81,17.3,17.07930111,13.12078368,15.04,
L1816,TG(18:0_20:0_18:1),C59 H112 O6,CC=CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,17.59,20.96,18.33,13.57,18.22768021,
L1818,LPC(18:1),C26 H52 N1 O7 P1,CC=CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,1.40375,8.34198712,1.485482942,1.82,4.179224939,
L1820,LPI(18:0),C27 H53 O12 P1,CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O,1.470510783,8.534640494,1.612044385,1.856652716,4.642338782,
L1822,LPI(18:2),C27 H49 O12 P1,CC=CC=CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O,0.94799723,7.371800175,0.88,1.05,3.37,
L1824,LPE(22:5),C27 H46 N1 O7 P1,CC=CC=CC=CC=CC=CCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN,1.15,8.057997545,1.145,1.4619,3.357130964,
L1826,LPC(22:5),C30 H52 N1 O7 P1,CC=CC=CC=CC=CC=CCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,1.09,7.967835822,1.132828133,1.414605458,3.221501488,
L1827,AcCa(16:0),C23 H45 N O4,,,,16,1.6776,3.7068,
L1828,AcCa(18:0),C25 H49 N O4,,,,17,2.4081,4.7474,
L1829,AcCa(20:0),C27 H53 N O4,,,,18,3.4233,5.7871,
L1830,AcCa(18:2),C25 H45 N O4,,,,,1.4469,3.1413,
L1831,AcCa(12:1),C19 H35 N O4,,,,,0.7366,1.92,
